from_id,to_id,strength,lag_days,polarity,influence_type
evt_1296470865,evt_1296594046,0.681,1,-1,thematic
evt_1296594044,evt_1296593186,0.74,1,1,thematic
evt_1296594045,evt_1296593186,0.74,1,1,thematic
evt_1296594046,evt_1296593186,0.74,1,-1,thematic
evt_1296594044,evt_1296593421,0.74,1,1,thematic
evt_1296594045,evt_1296593421,0.74,1,1,thematic
evt_1296594046,evt_1296593421,0.74,1,-1,thematic
evt_1291631822,evt_1291631824,0.667,1,1,thematic
evt_1291631822,evt_1291634593,0.517,1,-1,indirect
evt_1291631824,evt_1291634593,0.501,1,-1,indirect
evt_1291634593,evt_1291633538,0.643,1,1,thematic
evt_1291631822,evt_1291633538,0.517,1,-1,indirect
evt_1291631824,evt_1291633538,0.501,1,-1,indirect
evt_1291634593,evt_1291634596,0.793,1,1,direct
evt_1291633538,evt_1291634596,0.632,1,1,thematic
evt_1291631822,evt_1291634596,0.517,1,-1,indirect
evt_1291631822,evt_1291783670,0.598,1,-1,thematic
evt_1291631824,evt_1291783670,0.582,1,-1,thematic
evt_1291634593,evt_1291783670,0.424,1,1,indirect
evt_1291783670,evt_1291875173,0.75,1,-1,thematic
evt_1291708048,evt_1291875173,0.696,1,1,direct
evt_1291631822,evt_1291875173,0.598,1,1,thematic
evt_1291875173,evt_1291874809,0.795,1,1,direct
evt_1291783670,evt_1291874809,0.75,1,-1,thematic
evt_1291708048,evt_1291874809,0.696,1,1,direct
evt_1291783670,evt_1291783524,0.75,1,1,thematic
evt_1291875173,evt_1291783524,0.645,1,-1,thematic
evt_1291874809,evt_1291783524,0.628,1,-1,thematic
evt_1291783670,evt_1291783532,0.9,1,-1,direct
evt_1291875173,evt_1291783532,0.645,1,1,thematic
evt_1291874809,evt_1291783532,0.628,1,1,thematic
evt_1291783670,evt_1292100163,0.681,1,-1,thematic
evt_1291995417,evt_1292100163,0.661,1,1,thematic
evt_1291875173,evt_1292100163,0.576,1,1,thematic
evt_1291783670,evt_1291995666,0.681,1,-1,thematic
evt_1291995417,evt_1291995666,0.661,1,1,thematic
evt_1292100163,evt_1291995666,0.635,1,1,thematic
evt_1291783670,evt_1292218264,0.638,2,-1,thematic
evt_1291995417,evt_1292218264,0.592,1,1,thematic
evt_1292100163,evt_1292218264,0.566,1,1,thematic
evt_1292218264,evt_1292219055,0.75,1,-1,thematic
evt_1291783670,evt_1292219055,0.638,2,1,thematic
evt_1291995417,evt_1292219055,0.592,1,-1,thematic
evt_1292218264,evt_1292218269,0.75,1,1,thematic
evt_1292219055,evt_1292218269,0.738,1,-1,thematic
evt_1291783670,evt_1292218269,0.638,2,-1,thematic
evt_1292218264,evt_1292218994,0.75,1,1,thematic
evt_1292219055,evt_1292218994,0.738,1,-1,thematic
evt_1292218269,evt_1292218994,0.663,1,1,thematic
evt_1291783670,evt_1292219053,0.787,2,1,direct
evt_1292218264,evt_1292219053,0.75,1,-1,thematic
evt_1292219055,evt_1292219053,0.738,1,1,thematic
evt_1292218264,evt_1292546908,0.681,1,1,thematic
evt_1292219055,evt_1292546908,0.668,1,-1,thematic
evt_1291783670,evt_1292546908,0.608,3,-1,thematic
evt_1292218264,evt_1292547186,0.681,1,1,thematic
evt_1292219055,evt_1292547186,0.668,1,-1,thematic
evt_1292546908,evt_1292547186,0.628,1,1,thematic
evt_1292218264,evt_1292672454,0.638,2,1,thematic
evt_1292219055,evt_1292672454,0.625,2,-1,thematic
evt_1292546908,evt_1292672454,0.559,1,1,thematic
evt_1292672454,evt_1292672838,0.75,1,1,thematic
evt_1292672405,evt_1292672838,0.75,1,1,thematic
evt_1292672820,evt_1292672838,0.75,1,1,thematic
evt_1292672454,evt_1292673181,0.75,1,1,thematic
evt_1292672838,evt_1292673181,0.75,1,1,thematic
evt_1292218264,evt_1292673181,0.638,2,1,thematic
evt_1292672454,evt_1292673216,0.75,1,1,thematic
evt_1292672838,evt_1292673216,0.75,1,1,thematic
evt_1292673181,evt_1292673216,0.75,1,1,thematic
evt_1292672454,evt_1292673189,0.75,1,-1,thematic
evt_1292672838,evt_1292673189,0.75,1,-1,thematic
evt_1292673181,evt_1292673189,0.75,1,-1,thematic
evt_1292672454,evt_1292884831,0.681,1,-1,thematic
evt_1292672838,evt_1292884831,0.681,1,-1,thematic
evt_1292673181,evt_1292884831,0.681,1,-1,thematic
evt_1292884831,evt_1292885426,0.75,1,1,thematic
evt_1292886002,evt_1292885426,0.75,1,-1,thematic
evt_1292886107,evt_1292885426,0.75,1,-1,thematic
evt_1292885426,evt_1292885424,0.896,1,1,direct
evt_1292884831,evt_1292885424,0.75,1,1,thematic
evt_1292886002,evt_1292885424,0.75,1,-1,thematic
evt_1292885426,evt_1292885425,0.896,1,1,direct
evt_1292885424,evt_1292885425,0.799,1,1,direct
evt_1292884831,evt_1292885425,0.75,1,1,thematic
evt_1292884831,evt_1292884828,0.75,1,-1,thematic
evt_1292885426,evt_1292884828,0.746,1,-1,thematic
evt_1292672454,evt_1292884828,0.681,1,1,thematic
evt_1292884831,evt_1292885387,0.75,1,-1,thematic
evt_1292885426,evt_1292885387,0.746,1,-1,thematic
evt_1292672454,evt_1292885387,0.681,1,1,thematic
evt_1292884831,evt_1292962110,0.75,1,-1,thematic
evt_1292885426,evt_1292962110,0.746,1,-1,thematic
evt_1292672454,evt_1292962110,0.681,1,1,thematic
evt_1292884831,evt_1293028548,0.681,1,-1,thematic
evt_1292885426,evt_1293028548,0.677,1,-1,thematic
evt_1292672454,evt_1293028548,0.638,2,1,thematic
evt_1292673607,evt_1293028567,0.536,2,1,thematic
evt_1292884831,evt_1293028567,0.531,1,1,indirect
evt_1292885426,evt_1293028567,0.527,1,1,indirect
evt_1292884831,evt_1293335568,0.608,3,-1,thematic
evt_1292885426,evt_1293335568,0.604,3,-1,thematic
evt_1293028548,evt_1293335568,0.517,2,1,thematic
evt_1293335568,evt_1293532681,0.57,1,-1,thematic
evt_1293028548,evt_1293532681,0.487,3,-1,thematic
evt_1293532681,evt_1293734507,0.585,1,-1,thematic
evt_1293335568,evt_1293734507,0.527,2,1,thematic
evt_1293734507,evt_1293734796,0.9,1,1,direct
evt_1293532681,evt_1293734796,0.585,1,-1,thematic
evt_1293335568,evt_1293734796,0.527,2,1,thematic
evt_1293734507,evt_1293734799,0.9,1,1,direct
evt_1293734796,evt_1293734799,0.9,1,1,direct
evt_1293532681,evt_1293734799,0.585,1,-1,thematic
evt_1293734507,evt_1293734992,0.75,1,-1,thematic
evt_1293734796,evt_1293734992,0.75,1,-1,thematic
evt_1293734799,evt_1293734992,0.75,1,-1,thematic
evt_1293734507,evt_1293734409,0.75,1,-1,thematic
evt_1293734796,evt_1293734409,0.75,1,-1,thematic
evt_1293734799,evt_1293734409,0.75,1,-1,thematic
evt_1293734507,evt_1293734490,0.75,1,1,thematic
evt_1293734796,evt_1293734490,0.75,1,1,thematic
evt_1293734799,evt_1293734490,0.75,1,1,thematic
evt_1293734507,evt_1293941076,0.681,1,1,thematic
evt_1293734796,evt_1293941076,0.681,1,1,thematic
evt_1293734799,evt_1293941076,0.681,1,1,thematic
evt_1293734992,evt_1293734993,0.72,1,1,direct
evt_1293734507,evt_1293734993,0.6,1,-1,indirect
evt_1293734796,evt_1293734993,0.6,1,-1,indirect
evt_1293941076,evt_1294141989,0.653,1,1,thematic
evt_1293734507,evt_1294141989,0.638,2,1,thematic
evt_1293734796,evt_1294141989,0.638,2,1,thematic
evt_1293734507,evt_1294140630,0.787,2,1,direct
evt_1293734796,evt_1294140630,0.787,2,1,direct
evt_1293734799,evt_1294140630,0.787,2,1,direct
evt_1293734993,evt_1293941584,0.801,1,1,direct
evt_1293734992,evt_1293941584,0.651,1,1,direct
evt_1293734507,evt_1293941584,0.531,1,-1,indirect
evt_1293941584,evt_1293941586,0.9,1,1,direct
evt_1293734993,evt_1293941586,0.801,1,1,direct
evt_1293734992,evt_1293941586,0.651,1,1,direct
evt_1293941584,evt_1293940715,0.75,1,1,thematic
evt_1293941586,evt_1293940715,0.655,1,1,thematic
evt_1293734993,evt_1293940715,0.651,1,1,thematic
evt_1294141989,evt_1294273851,0.681,1,1,thematic
evt_1293941076,evt_1294273851,0.61,2,1,thematic
evt_1293734507,evt_1294273851,0.608,3,1,thematic
evt_1294141989,evt_1294273848,0.681,1,1,thematic
evt_1294273851,evt_1294273848,0.679,1,1,thematic
evt_1293941076,evt_1294273848,0.61,2,1,thematic
evt_1294141989,evt_1294273641,0.681,1,1,thematic
evt_1294273851,evt_1294273641,0.679,1,1,thematic
evt_1294273848,evt_1294273641,0.642,1,1,thematic
evt_1294141989,evt_1294273639,0.681,1,1,thematic
evt_1294273851,evt_1294273639,0.679,1,1,thematic
evt_1294273848,evt_1294273639,0.642,1,1,thematic
evt_1294141989,evt_1294273644,0.681,1,-1,thematic
evt_1294273851,evt_1294273644,0.679,1,-1,thematic
evt_1294273848,evt_1294273644,0.642,1,-1,thematic
evt_1293941584,evt_1294389381,0.758,3,1,direct
evt_1293941586,evt_1294389381,0.663,3,1,direct
evt_1294141989,evt_1294389381,0.488,2,-1,indirect
evt_1294273851,evt_1294781387,0.537,3,1,thematic
evt_1294273848,evt_1294781387,0.5,3,1,thematic
evt_1294273641,evt_1294781387,0.488,3,1,thematic
evt_1294781387,evt_1294782379,0.721,1,-1,thematic
evt_1294575533,evt_1294782379,0.681,1,-1,thematic
evt_1294576765,evt_1294782379,0.681,1,-1,thematic
evt_1294782379,evt_1294781419,0.647,1,1,direct
evt_1294389381,evt_1294781419,0.638,2,1,thematic
evt_1294781387,evt_1294781419,0.571,1,-1,indirect
evt_1294781387,evt_1294985525,0.652,1,1,thematic
evt_1294782379,evt_1294985525,0.578,1,-1,thematic
evt_1294389381,evt_1294985525,0.458,3,-1,indirect
evt_1294389381,evt_1294985228,0.608,3,1,thematic
evt_1294781419,evt_1294985228,0.559,1,1,thematic
evt_1294781387,evt_1294985228,0.502,1,-1,indirect
evt_1294987034,evt_1294985239,0.655,1,1,thematic
evt_1294987035,evt_1294985239,0.655,1,1,thematic
evt_1294781387,evt_1294985239,0.652,1,1,thematic
evt_1294985239,evt_1294986198,0.776,1,1,direct
evt_1294987034,evt_1294986198,0.655,1,1,thematic
evt_1294987035,evt_1294986198,0.655,1,1,thematic
evt_1294781387,evt_1295185328,0.609,2,1,thematic
evt_1294985525,evt_1295185328,0.57,1,1,thematic
evt_1294985239,evt_1295185328,0.557,1,1,thematic
evt_1295185328,evt_1295185621,0.75,1,-1,thematic
evt_1295185619,evt_1295185621,0.75,1,-1,thematic
