from_id,to_id,relevance_score
evt_1291632090,topic_politics,0.8
evt_1291632091,topic_politics,0.8
evt_1291632092,topic_politics,0.838
evt_1291632093,topic_politics,0.838
evt_1291632094,topic_politics,0.856
evt_1291632095,topic_politics,0.856
evt_1291632096,topic_politics,0.856
evt_1291632097,topic_politics,0.84
evt_1291632098,topic_politics,0.84
evt_1291632099,topic_politics,0.84
evt_1291632100,topic_security,1.0
evt_1291632101,topic_security,1.0
evt_1291632102,topic_security,1.0
evt_1291632103,topic_security,1.0
evt_1291632104,topic_security,1.0
evt_1291632105,topic_security,1.0
evt_1291632106,topic_politics,0.8
evt_1291632107,topic_politics,0.8
evt_1291632108,topic_politics,0.8
evt_1291632109,topic_politics,0.8
evt_1291632110,topic_politics,0.86
evt_1291632111,topic_politics,0.86
evt_1291632112,topic_politics,0.86
evt_1291632113,topic_politics,0.86
evt_1291632114,topic_politics,0.8
evt_1291632115,topic_politics,0.8
evt_1291632116,topic_politics,0.86
evt_1291632117,topic_politics,0.904
evt_1291632118,topic_politics,0.856
evt_1291632119,topic_politics,0.868
evt_1291632120,topic_politics,0.94
evt_1291632121,topic_politics,0.86
evt_1291632122,topic_politics,0.86
evt_1291632123,topic_politics,0.838
evt_1291632124,topic_politics,0.838
evt_1291632125,topic_politics,0.8
evt_1291632126,topic_politics,0.856
evt_1291632127,topic_security,0.88
evt_1291632128,topic_security,0.88
evt_1291632129,topic_security,0.9
evt_1291632130,topic_security,0.9
evt_1291632131,topic_politics,0.808
evt_1291632132,topic_politics,0.808
evt_1291632133,topic_politics,0.808
evt_1291632134,topic_politics,0.868
evt_1291632135,topic_politics,0.868
evt_1291632136,topic_politics,0.868
evt_1291632137,topic_politics,0.868
evt_1291632138,topic_politics,0.94
evt_1291632139,topic_politics,0.8
evt_1291632140,topic_politics,0.856
evt_1291632141,topic_politics,0.838
evt_1291632142,topic_politics,0.948
evt_1291632143,topic_politics,0.948
evt_1291632144,topic_politics,0.948
evt_1291632145,topic_politics,0.868
evt_1291632146,topic_politics,0.8
evt_1291632147,topic_politics,0.8
evt_1291632148,topic_politics,0.8
evt_1291632149,topic_politics,0.8
evt_1291632150,topic_politics,0.8
evt_1291632151,topic_politics,0.88
evt_1291632152,topic_politics,0.838
evt_1291632153,topic_politics,0.856
evt_1291632154,topic_politics,0.88
evt_1291632155,topic_politics,0.88
evt_1291632156,topic_politics,0.88
evt_1291632157,topic_security,1.0
evt_1291632158,topic_politics,0.88
evt_1291632159,topic_politics,0.88
evt_1291632160,topic_politics,0.88
evt_1291632161,topic_politics,0.88
evt_1291632162,topic_politics,0.88
evt_1291632163,topic_politics,0.88
evt_1291632164,topic_politics,0.88
evt_1291632165,topic_politics,0.838
evt_1291632166,topic_politics,0.838
evt_1291632167,topic_politics,0.838
evt_1291632168,topic_politics,0.838
evt_1291632169,topic_security,1.0
evt_1291632170,topic_security,1.0
evt_1291632171,topic_security,1.0
evt_1291632172,topic_security,1.0
evt_1291632173,topic_security,0.99
evt_1291632174,topic_security,0.99
evt_1291632175,topic_politics,0.838
evt_1291632176,topic_politics,0.838
evt_1291632177,topic_politics,0.838
evt_1291632178,topic_politics,0.888
evt_1291632179,topic_politics,0.888
evt_1291632180,topic_politics,0.888
evt_1291632181,topic_politics,0.82
evt_1291632182,topic_politics,0.82
evt_1291632183,topic_politics,0.82
